place,info,문의 및 안내,주소,이용시간,휴일,주차,판매 품목,접근로,출입통로,보조견 동반,review,홈페이지,이용가능시설,시설이용료,주차 요금,이용요금,체험프로그램,부대시설,화장실,체험 프로그램,입장료,체험가능 연령,수용인원,장애인 주차 안내,엘리베이터,"영유아가족
기타상세",유도안내 설비,주요시설,대여안내,점자 블록,수유실,유모차,규모,안내 요원,지정현황,지체장애 기타 상세,유아용보조의자,대중 교통,주차요금,휠체어,점자 홍보물,오디오 가이드,예약안내 홈페이지,관람석,보유장비,강습안내,입점브랜드,시각장애 기타상세,객실,코스안내,자막 비디오 가이드,수화 안내
현풍향교,"현풍향교는 고려시대 이래로 조선 시대까지 지역 유생들이 머물며 수학한 지방의 관학 교육기관이자, 유교적 사상과 신념, 습속을 지역 내에 전하기 위한 유교문화의 거점이다. 현유의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위해 창건되었다. 명확한 건립 연대를 알 수 없지만, 조선 초에 건립되었던 것으로 추정된다. 유교사상 교육 외에 공자를 비롯한 선현들의 제사를 지내는 제향적 기능, 향교를 출입하는 현풍의 재지 사족들의 향론을 형성하는 향촌 자치 기구로 활용되었다.

현풍향교는 임진왜란을 거치면서 소실되었다가, 현풍 현감 이영도가 옛 교동에 중건하였다. 이후, 1758년(영조 34) 현감 김광태가 임진왜란 이전의 위치로 이전하면서 규모를 확대하였다. 이후 1857년(철종 8), 1872년(고종 9)에 중수되고, 1882년(고종 19)에는 여제당을 중수하는 등 수차례의 중수, 중건 과정을 거쳤다.

현풍향교는 대지를 3단으로 조성하여 대성전과 명륜당이 축을 이루면서 좌우에 동무, 서무, 동재, 서재를 각각 배치한 전학 후묘의 형태이다. 대구광역시 문화재자료인 대성전은 정면 3칸, 측면 3칸 규모로, 지붕 처마를 받치기 위해 장식하여 만든 공포는 기둥 위에만 있는 익공 양식으로 꾸몄다. 지붕은 향교 대성전의 일반적인 형태이고, 그 구조는 측면이 [ㅅ]자 형태인 맞배지붕 건물이다. 기단에는 근처 사찰에서 사용된 석재들을 기단석과 초석으로 사용하였다. 명륜당은 정면 5칸, 측면 2칸 규모의 겹처마 맞배지붕 건물이며 중앙에 대청으로 좌우에 협실을 둔 중당 협실형 건물이다. 현존하는 건물로는 6칸의 대성전, 8칸의 명륜당 각 4칸의 동무와 서무, 각 4칸의 동재와 서재, 내삼문 등이 있다.",,대구광역시 달성군 현풍면 현풍동로20길 27-8,상시개방,연중무휴,있음(무료),,,,,,http://www.cha.go.kr,대성전 / 명륜당 / 동무 / 서무 / 동재 / 서재 / 내삼문 / 외삼문,,,,,,있음,"청소년인성체험활동(무료, 단 일정 사전에 유선 연락 필수)",무료,,,,,,,,,,,,,,대구광역시 문화재자료 [현풍향교대성전],,,,,,,,,,,,,,,,,
선교사스윗즈주택,"이주택은 1893년부터 대구를 찾아와서 선교활동을 하던 미국인 선교사들(스윗즈, 핸드슨, 아키베드 캠벨등)이 거주한 집이다. 1906~1910년경 지상 2층, 지하 1층으로 건립된 서양식 건물이며 동산(현 청라언덕) 위에 서남향으로 자리 잡고 1907년(대구읍성 철거 때)에 가져온 안산암의 성돌로 기초를 만들고 그 위에 붉은 벽돌을 쌓은 벽돌조 2층의 한·양 절충식 건물이다. 1989년 6월 15일 대구광역시 유형문화재로 지정되었다. 1981년 8월 동산병원에서 인수하여 사택으로 사용하면서 한식 기와를 함석으로 교체하고, 내부 마감재 일부를 교체하였다. 평면 구성은 남쪽 우측부에 현관으로 이어지는 베란다를 두고, 현관 홀을 통하여 거실과 응접실을 직접 연결하였다. 거실을 중심으로 침실, 계단실, 욕실, 부엌, 식당 등을 배치하였고 지붕은 한식기와를 이은 박공지붕으로 남쪽과 북쪽이 쇠드(Shed)형이었으나 함석으로 개선되었다. 1999년 10월 1일 계명대학교 동산의료원 개원 100주년을 맞이하여 선교박물관으로 개원하여. 1층에는 각종 성경과 선교 유물 기독교 전래 과정 등의 사진 자료와 2층은 성막 모형 및 이스라엘 현지에서 구입한 구약, 신약 관련 소품들이 전시되어 있다. 선교사스윗즈주택은 미국인들의 주거 양식과 생활양식, 한·양 절충의 건축 수법을 잘 보여 주고 있으며, 대구의 개신교 선교사와 당시의 건축 상황을 살펴볼 수 있는 중요한 건물이다. 청라언덕에는 선교사블레어주택,챔니스주택을 비롯한 대구제일교회, 동무생각 노래비와 한국 최초의 서양 사과나무의 3세 자손목 특히 계절의 여왕으로 불리는 오월이 오면 청라언덕에 이팝나무가 200년 넘게 흰쌀밥 꽃을 피우는 등 볼거리 가득한 곳이다.",,대구광역시 중구 달구벌대로 2029 (동산동),"[월~금]
10:00~12:30(오전)
13:30~17:00(오후)
[토요일]
10:00~12:30
*관람 종료 1시간 전까지 입장 가능","일요일, 공휴일",가능,,,,,대구 근현대사를 살펴볼수있어 시티투어할때 친구와 방문했는데 사진도 분위기있게 찍혀요 고풍스런 벽돌집이 현대적인 건물 사이에서 아름답게 어우러지고 있네요~^^ 100년 선교사의 향수에 발걸음을,https://www.jung.daegu.kr/new/culture/,,,,,,,있음,,무료,,,,,,,,,,,,,,대구광역시 유형문화유산 선교사스윗즈주택 (1989.06.15 지정),,,,,,,,,,,,,,,,,
한밤마을,한밤마을은 대구 군위군 부계면에 자리한 곳으로 집집마다 야트막한 돌담들이 두런두런 옛이야기를 나누듯 정겨운 모습으로 둘러져 있는 마을이다. 1000년 세월에도 10리의 돌담과 고택들이 고스란히 보존되어 있고 주변의 정자와 조경들이 아늑하여 찾은 이들의 발길을 멈추게 한다. 950년경 부림 홍씨의 입향조 홍란이라는 선비가 이주해 오면서 마을 이름을 대야(大夜)라 불렀으나 이후 밤야(夜)자 대신 대율(大栗)로 고쳐 부르게 되어 대율리 한밤마을로 불리게 되었다.,,대구광역시 군위군 부계면 한티로 2137-3,상시 개방,연중무휴,"가능
요금 (무료)",,,,,여긴 정말 제주도 같은 느낌이에요~~ 요즘 같은 날씨에 한밤마을의 돌담길을 거닐면 정말 시원하고 기분 좋습니다 ^^ 고향 주변인데도 못 가본 마을이네요 꼭 한번 들러야겠어요~^^ 안전하고 쾌적한 환경에서 시골마을 여행 코로나19로 지친 마음 힐링하세요 오지로 유명한 군위의 시골마을. 고적한 분위기가 그립습니다. 정겨운 돌담과 가을 정경이 잘 어울리네요. 옛 신라의 정취가 담긴 곳 꼭 가보고 싶네요! 가보고 싶어요 가고 싶네요! 어릴적 할머니집이 그립습니다. 힐링할 멋진 곳입니다 넘 아름답네요^^,https://tour.daegu.go.kr,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수성못 유원지,"수성유원지는 범물동 용지봉(629ｍ)에서 북서부로 뻗어 내린 줄기의 하부에 위치하여 주변의 완만한 산지와 수성못을 끼고 자연의 경관미를 이루고 있다. 1925년에 조성된 수성못을 중심으로 형성되었으며 저수량도 70만에 달하고 21만 8000㎡의 면적에 못 둘레도 2,020m에 이른다. 수성못은 1925년 일제강점기에 농업용수 공급용으로 조성된 인공 못이었다. 지금은 수변 휴식공간으로 활용되어 연중 풍부한 수량을 자랑하고 있다. 수성못 주변에는 벤치와 수목, 산책로 유람선 선착장, 우주선, 유람선, 바이킹, 범버카, 회전목마 등의 놀이시설을 갖춘 수성랜드가 어우러져 유원지를 형성하고 있다. 보트놀이와 오리배 등을 즐길 수 있는 수성못과 어린이 놀이터, 두산폭포 등 볼거리, 즐길거리가 있어 가족나들이와 연인들의 데이트 코스로 적격이다. 수성못 미디어아트 음악분수는 이색적인 볼거리를 제공한다.

◎ 한류의 매력을 만나는 여행 정보 - 드라마 <하이드 지킬, 나>
로빈과 하나가 슬픈 이별을 준비했던 수성못 유원지는 대구 주민들의 대표적인 힐링 명소다. 밤이면 연못 주변에 들어오는 조명과 도심의 야경, 화려한 빛을 자랑하는 분수 쇼를 볼 수 있다.",,대구광역시 수성구 두산동 512,"상시 개방
※ 수성 미디어아트 음악분수 운영시간은 홈페이지 참조 요망",연중무휴,가능,,출입구까지 경사로가 설치되어 있음(완만함),주 출입구는 턱이 없어 휠체어 접근 가능함,,친척이 대구 살아서 수성못 세번정도 갔어요. 낮과 밤이 모두 좋은데 전 밤이 더 좋더라구요ㅎㅎ 사진 보니까 또 가고싶네요~~ 대구오셔서 주변 식당에서 맛난거드시고 산책하시 좋아요~ 해질따 노을이 이뻐요~ 막내딸이 있는 대구. 저녁식사 후 수성못 방문~ 분수도 나와서 여름밤이 시원해지네요^^ 고즈넉해서 걷기 너무 좋고 힐링하기 너무 좋았어요. 대구에서 꼭 가봐야 할 곳이 아닌가 싶습니다 한 바퀴 산책하기도 좋고 호수 둘레길로 산책길 조성이 잘 되어 있습니다 특히 봄에 벚꽃이 피었을 땐 정말 더 예쁘답니다 호수 둘레길로 카페와 음식점도 많아서 연인들이나 가족들이 가기 좋습니다 지인 결혼식차 갔다가 산책하고 오리배 탔었어요. 대구 토박이 지인이 여기까지 와서 오리배 타냐고 우스갯소리로 얘기했었는데 타고 다음 달인가 없어져서 놀랐어요. 늦은 오후에는 물가 바라보고 앉아서 이야기 나누기 좋아요. 근처에서 식사하고 데이트코스로 딱! 계절별로 다른 느낌이라 산책하기 너무 좋아요. 오리배도 탈 수 있어서 좋았는데 지금은 없는것같아서 아쉽네요ㅠㅠ 근처에 식물원도 있어서 같이 둘러보기 좋아요!,https://www.suseong.kr/tour/,"수성못 오리배&유람선 / 수변데크로드 / 포켓무대 / 관광안내소 북카페 등
※ 기상여건 및 사정에따라 이용불가시설 있음",,,,,,장애인 화장실 있음,,,전 연령,,"장애인 주차장 있음(3대,두산동 행정복지센터)_무장애 편의시설",엘리베이터 있음(수성못역 출구),화장실 내 기저귀 교환대 있음,,,,점자블록 있음(주요시설 앞)_시각장애인 편의시설,,,,,,전동휠체어 충전기 있음,,,,,,,,,,,,,,,,
군위 인각사지,"군위 인각사지는 군위군 화산의 북쪽 기슭 강가 퇴적지대에 자리 잡은 절터이다. 인각사는 선덕여왕 시절 원효가 세운 절이라 한다. 그 뒤 고려 때에 크게 고쳐 지었고, 일연이 충렬왕 10년(1284)부터 5년간 이 절에서 머물며 삼국유사를 지은 장소로 널리 알려져 있다. 인각사는 언제 세워졌는지 문헌으로는 확인할 수 없다. 그러나 발굴조사 때 대웅전터로 생각되는 건물이 있던 곳에서 통일신라시대의 건물터를 확인하여, 신라 후기에 이미 있었던 것으로 짐작하고 있다. 지금의 인각사에는 법당과 두 채의 건물이 남아 있으며, 중요문화유산으로 인각사 보각국사 탑과 비(보물)가 있다.

(출처 : 국가유산청)",,대구광역시 군위군 고로면 삼국유사로 250,상시 개방,연중무휴,가능,,,,,일연이 삼국유사를 저술한 곳이라고 한다. 삼국유사의 고장 군위를 방문했다면 꼭 가봐야 하지 않을까! 삼국유사를 지은 장소만으로도 충분히 흥미로운곳,https://www.gunwi.go.kr,,,,,,,,,무료,,,,,,,,,,,,,,사적 군위 인각사지 (1992.05.28 지정),,,,무료,,,,,,,,,,,,,
대구 진골목,"진골목은 중앙대로에서 홍백원에 이르는, 대구 종로 일대에 형성된 골목으로 도심 속에서 옛 역사와 문화를 만날 수 있는 곳이다. 진골목은 긴골목의 경상도 말씨로 길다를 의미하는 질다에서 기원한다. 대구읍성의 남문이 있었던 구 대남한의원 사거리를 통과하여 종로로 50m 정도 들어서면 오른쪽으로 길게 뻗어 들어가는 골목이다. 진골목은 경상감영 시대부터 해방 전까지 대구 토착 세력이었던 달성서씨의 집성촌이었다. 진골목을 통하면 당시 군사, 행정로였던 종로를 통하지 않고도 감영, 중영까지 갈 수 있었고, 19세기말부터 화교들이 정착하기 시작하였으며 대구 최초로 가구점들이 들어선 곳이다. 현재는 남성로 네거리를 중심으로 전통차, 다기, 한방, 골동품 등 전통 물품 판매점 등이 들어서 있고 대구 중구 골목투어 '제2코스 근대문화골목'에 해당하는 곳으로 전통문화가 살아 숨 쉬는 곳이다. 한편 진골목 양쪽으로 세련되고 독특한 인테리어의 음식점과 카페 등도 조성되어 있다. 대구에서 가장 오래된 양옥집인 정소아과와 옛 가옥 100칸의 일부인 진골목식당, 영화 사랑비 촬영지인 약전식당 등이 대표적인 명소이다. 또 1982년 문을 연 미도다방은 과거 대구 지역의 유명 정치인, 문인, 유림 등이 자주 드나들었던 곳으로 알려져 있으며 지금도 성업 중으로 실제로 가보면 백발의 어르신들이 많이 있다. 진골목은 현대식 고층빌딩으로 가득한 대구 도심에 옛 골목길 풍경이 남아있는 곳으로 근대 대구의 모습을 고스란히 보여주며, 좁은 길을 걷다 보면 100년의 대구 역사를 느껴볼 수 있다. 주변 관광지로 약령시한의약박물관, 에코한방웰딩체험관, 근대문화체험관, 뽕나무골목, 계산성당, 이상화 고택, 서상돈 고택, 청라언덕 등이 있다.",,대구광역시 중구 진골목길 26 (남일동),상시 개방,연중무휴,불가능,,,,,"대구중구 골목투어 코스에도 포함되어 있고, 한옥 분위기의 스타벅스가 바로 옆에 있어서 같이 방문하기 좋은것 같아요~ 한옥으로된 스타벅스 구경하러간김에 도심속 골목골목을 구경하기좋고 오래된옛스러운 건물구경도 하고 좋았어요 근대골목투어 코스 중 하나인 진골목. 종로 스타벅스 바로 옆으로 찾을 수 있다. 옛건물이 고스란히 남아있어서 운치를 느낄 수 있다. 근대골목의 여행을 하며 진골목에 가보면 구불구불 좁은긴골목임을 알수있는데 진골목안에 진골목식당에서 육개장 한사발하고 맞은편 미도다방에가서 쌍화차한잔 해볼것을추천합니다! 육개장은 파를 잔뜩넣어서 단맛이 우러나오는 육개장인데 늙은호박전과함께드시길 추천하고 미도다방은 한복입으신사장님께서 밝고친절히응대해주시는데 계란띄운쌍화차와 옛날과자 드셔보세요!! 대구진골목사이에 이쁜 카페도 있고 이번에 한옥형 스타벅스생겨서 사람 은근 많더라고요 오오오 애들이랑 꼭가봐야겠어요",https://www.jung.daegu.kr,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구섬유박물관,"섬유산업은 가내수공업적 전통산업에서 현대 산업 사회로의 발전을 이끄는 견인차 역할을 하였다. 우리나라에서도 경제성장기에 섬유산업이 중심 역할을 하였고, 대구는 그 한가운데서 섬유를 기반으로 성장한 ‘섬유도시’다. 이것이 대구섬유박물관을 건립한 이유의 하나다. 섬유는 탄소섬유, 나노섬유 등 섬유소재의 발전으로 과학, 의료, 첨단산업 등 전반에 걸쳐 적용되는 미래산업이기도 하다. 대구섬유박물관은 세계에서도 드문 섬유와 패션을 아우르는 종합박물관으로, 패션, 산업, 신소재 등 섬유의 역사와 특성에 관해 한 공간에서 전시하고 있다. 또한 공감할 수 있는 전시와 프로그램으로 시민들의 편안한 문화휴식처가 되고 있다. 대구섬유박물관은 한국 섬유·패션산업의 새로운 도약에 다리가 되고자 한다. 첨단으로 향하는 섬유·패션의 발전을 기업을 비롯한 섬유분야와 시민들이 소통할 수 있도록 가교 역할을 할 것이다. 추억을 떠올리고 새로움을 발견하는 즐거움을 누리고 싶다면 섬유박물관에 방문하는 것을 추천한다.",,대구광역시 동구 팔공로 227 (봉무동),09:00~18:00,"매주 월요일 / 1월 1일 / 설날·추석 당일
※ 단, 휴관일이 공휴일인 경우 그 다음 평일에 휴관","가능
요금 (무료)",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(자동문),보조견동반 가능함,,https://www.dtmuseum.org/,패션관 / 산업관 / 미래관 / 어린이체험실 / 섬유정보실 / 어울림 / 수유실 / 물품보관함,,,,,,장애인 전용 화장실 있음,※ 일정별 상이하므로 홈페이지 참고,"무료
※ 단, 일부 기획전시는 유료일 수 있으므로 홈페이지 참고",,,장애인 전용 주차구역 있음(1대)_무장애 편의시설,엘리베이터 있음,"어린이체험실,유아휴게실 있음",,,,점자블록 있음(주요시설앞)_시각장애인 편의시설,수유실 있음(2층),대여가능(2대),,"안내요원 있음
전시해설자 있음",,,,,,대여가능(2대),점자안내판 있음,"음성안내어플 제공
음성안내기 있음",,,,,,,,,,
금호강 오토캠핑장,"대구 검단동에 위치한 금호강 오토캠핑장은 오토캠핑장 16면과 관리실, 샤워실, 포토존, 놀이터 등을 갖춘 휴식 공간이다. 물소리, 바람 소리, 금호강의 아름다운 풍광을 통해 자연을 느낄 수 있는 도심 속 힐링 쉼터이다. 다양한 유형의 캠핑 공간이 마련되어 있는데 텐트는 물론, 카라반을 이용한 캠핑도 가능한다. 전기 사용이 가능한 사이트가 있고 각종 편의 시설을 잘 갖추고 있다. 사전 예약제로 운영되며, 가격이 저렴한 장점이 있다.",,대구광역시 북구 검단동 458-4번지,14:00~익일 12:00,설날·추석 당일,"가능
요금 (무료)",,,,,1년동안 못 보고 지냈던 친구들 동생들과 오랜만에 가까운데서 같이 1박하면서 즐겁게 먹고 놀고 이야기 하며 놀더 캠핑장 금호강도 같이 붙어있어서 자전거도 타고 체육시설도 있어 같이 운동하며 놀고 좋았네요,https://www.buk.daegu.kr/reserve/,,,,,,,,,"[비수기]
- 주중 25,000원
- 주말 30,000원
[성수기]
- 주중 30,000원
- 주말 35,000원
※ 자세한 사항은 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경극고택,"경주 최 씨 집성촌인 대구광역시 옻골마을은 본래 종가, 장자만 살 수 있었다. 하지만 모든 자녀를 사랑하는 마음으로 둘째 아들을 자리 잡게 하여 어느덧 200년이나 된 고택이 바로 경극고택이다. 대구 관광두레 주민사업체인 옻골마을에서는 잘 보존된 고택들과 적절하게 정비된 현대시설로 남녀노소 누구나 조선시대의 문화체험이 가능하다. 과거 조선 시대로 돌아간 듯한 고즈넉한 분위기에서 한옥 스테이부터 다양한 전통 체험까지 즐길 수 있다.",,대구광역시 동구 옻골로 195-3 (둔산동),한옥스테이 15:00~익일 12:00,연중무휴,가능,,,,,,www.otgol.kr,,,,,,,,"떡메치기 / 다식체험 / 한복체험 / 서당체험 등
※ 자세한 사항은 홈페이지 참조","무료 (시설이용료, 체험료 별도)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의흥향교,"군위군 의흥군에 있는 의흥향교는 1398년(태조 7) 조선 인종 때 훌륭한 유학자의 위패를 모시고 제사를 지내고 지방민의 교육과 교화를 위해 설립된 조선시대의 국립교육기관이다. 임진왜란 때 건물은 모두 소실되었으나, 이곳 유림 손돈암이 위패를 선암산으로 피난시켜 병화를 면하였고 이에 경상북도에서 오직 이 향교만이 당초 그대로의 위패를 보존하고 있다. 1601년(선조 34)에 중건하고 1641년(인조 19)에 현재의 위치로 이건 하면서 이때 대성전이 세워졌다. 1950년 6·25 사변으로 삼성재, 노사 등이 소실되었으며, 1968년에 광풍루를 중수하였다. 현존하는 건물로는 5성, 송조 4현, 우리나라 18현의 위패를 봉안하고 있는 대성전과 광풍루, 사물재, 신문 등이 있다.",,대구광역시 군위군 의흥면 읍내길 89-5,09:00~18:00,연중무휴,"가능
요금 (무료)",,,,,"의흥향교 저의힐링터에요, 우연히 근처 들일일이있어서 들렸는데 향교와 하늘이 어우러진 하늘이 너무 예뻐서 기분이 좋았어요","http://www.gunwi.go.kr/tour
http://www.cha.go.kr",,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구시민안전테마파크,"대구시민안전테마파크는 생동감 넘치는 체험교육을 통해 시민들이 안전에 대한 소중함을 느낄 수 있는 시민안전교육 및 시민안전 문화정착을 위해 설립되었다. 실질적인 안전체험을 위하여 제1관에는 특화된 지하철안전 체험장을 비롯하여 지진안전 체험장, 미래안전영상관(4D), 교통안전 체험장, 어린이 제품 안전체험관등을 운영하여 안전의식 고취와 함께 우리가 일상에서 접할 수 있는 재난상황을 실감 나게 체험할 수 있다. 특히 2020년 10월에 개장한 교통안전 체험장은 미니자동차를 타면서 각종 교통안전에 대한 체험을 할 수 있어 어린이 체험객에게 많은 인기를 누리고 있다. 제2관에는 위기대응 체험장으로 화재진압, 농연 및 완강기 체험, 대구 도시철도 3호선을 그대로 옮겨온 모노레일 체험장을 운영하고 있으며, 심폐소생술 교육장에서는 심정지 상황에서 대처할 수 있는 CPR교육을 진행함으로써 다양한 체험과 함께 응급교육도 병행하고 있다. 야외에는 어린이들에게 가장 인기 있는 소방차, 구급차 등이 전시되어 있어 언제든지 관람하며 멋진 팔공산의 풍경과 함께 사진을 찍을 수 있는 공간이 있다.",,대구광역시 동구 팔공산로 1155 (용수동),"개관시간 09:00~18:00
체험운영 10:00~17:00","매주 월요일 / 1월 1일 / 설날·추석 당일
※ 단, 월요일이 공휴일인 경우, 공휴일 다음 첫 번째 평일 휴관","가능
요금 (무료)",,"폭이 넓어 휠체어, 전동 스쿠터 사용자 이용 쉬움.
내부 턱 없음.","출입통로 형태 : 여닫이문
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.",,"큰아이가 초등생일때, 둘째가 초3이 됐을때 두번 방문했어요. 교통체험관은 예약마감이 너무 빨라 해보지 못하고 지하철, 재난대피 두가지를 했어요. 소화기 사용법, 화재시대피법, 완강기 등등 재난시 대처할 수 있는 법을 배울 수 있어서 참 좋았어요.",http://safe119.daegu.go.kr,지하철안전체험 / 오리엔테이션홀 / 미래안전영상관 등,,,,,,"화장문 출입구 : 자동문
화장실 안내표지판에 시각장애인용 점자표시 설치
세면대에 핸드레일 설치
화장실 내부 활동공간 다소 협소하여 휠체어의 회전 및 활동 다소 제약
화장실 입구 턱 없음 및 내부 비상벨 미설치.",지하철안전체험 / 교통안전체험 / 위기대응체험 등,무료,,,"장애인 전용 주차구역 주차 대수 : 2대(대구시민안전테마파크아트홀방면주차장)
장애인 전용 주차구역 주차 대수 : 2대(대구시민안전테마파크2관방면주차장)
주변 휠체어 이용자 등이 이용할 수 있는 여유공간 있음.
문화시설까지의 거리 : 약 60m, 80m.",엘리베이터 있음,,,,,"건물 출입구 앞, 엘리베이터 앞, 안내시설 앞",,,,안내데스크 상주,,,,"대중교통 이용 가능 : 동화시설집단기구(종점)1 정류장
저상버스 없음.",,,,,,,,,,,,,,
강정고령보,"강정고령보(江亭高靈洑)는 경상북도 고령군 다산면과 대구광역시 달성군 다사읍에 있는 낙동강의 보로서 4대강 정비 사업 과정에서 부설되었다. 이곳에 위치한 세계적인 건축가 하니 라쉬드가 설계한 디아크는 물고기가 물 위로 뛰어오르는 순간과 물수제비가 물 표면에 닿는 순간의 파장을 잘 표현해 조형미와 예술성이 뛰어나다는 평가를 받았다. 디아크는 건물면적 3천761㎡에 지하 1층, 지상 3층 규모로 낙동강을 찾는 관람객들을 위한 복합문화공간으로 활용되고 있다.",,대구광역시 달성군 다사읍 강정본길 57,상시 개방,연중무휴,"가능
요금 (무료)",,출입구까지 경사로가 설치되어 있음,주출입구는 턱이 없어 휠체어 접근 가능함,,"강정고령보는 산책하기 정말 좋아요. 아이들과 함께 걷기에 안성맞춤이네요. 봄철이라 더 좋아서 오늘도 점심 먹고 산책하려고 합니다. 강아지들을 산책하기 너무너무 좋은 곳입니다 조금만 걸어가면 계절별로 꽃이 피어있어서 눈도 즐겁고 멋진 인생사진도 찍을 수 있어요! 제법 선선해진 날씨, 야경도 멋지고 야간 런닝하기도 제격인 멋진 곳입니다. 야경도 너무 멋지고 길도 잘돼있어요 저는 바이크 빌려서 타고 다녔어요 바이크 말고도 다른 즐길거리 먹거리도 있으니 추천합니다ㅎ 강아지와 함께 산책할곳 찾아보다가 강정고령보에 방문하게 되었는데 주차하기 편하였고 날씨도 화창하여 좋았네요. 담에는 야경구경하러 가봐야겠어요 너무 이쁠것같네요~ 걷기 너무나 좋은곳입니다. 주차공간이 조금부족하긴한데 불편함을 감안하더라도 산책하기에 공기가 탁 트인곳이에요 화장실도 잘지어져있어서 걱정안해도되며 주변에 자전거빌릴곳이 많아 넓은공간에 다양한탈것을 즐길수있답니다. 앉을곳도 많아서 편하게 경치도 즐길수있어요 밤에는 불빛이너무 예뻐서 사진찍기에도 너무좋은곳입니다. 대학생 때는 수업 끝나고 친구랑 근처 지하철역에서 자전거 빌려서 한바퀴 타고 예쁜 풀숲 발견하고는 사진 찍던 기억이^.^ 그리고 지금은 남자친구랑 라이딩 즐기러 가고, 바람 선선할 때 테이블이랑 의자 챙겨서 피크닉 가는 곳>.< 자전거길과 산책길 정비가 잘 되어 있어서 걷기에도 운동하기에도 좋았어요 가족들과 자주 방문하였었는데 이사하고는 오랜만에 다시 들렀어요. 날씨도 너무 청명한 좋은 날 탁 트인 풍경을 보고있으니 절로 기분이 좋아졌어요! 시원한 강바람이 불어와 산책하기 좋은 곳이에요. 자전거도 많이들 타시구요^^",,강정고령보/ 탄주대(전망데크) / 낙락섬,,,,,,장애인 화장실 있음,,무료,,,장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,,,,,,,,,,,,,,,,점자안내판 있음,,,,,,,,,,,
화본역,"화본역은 대구광역시 군위군 산성면에 위치한 폐역이다. 1938년 12월 1일에 중앙선의 보통역으로 영업을 시작하였으며, 역명은 주변 마을 이름에서 유래되었다. 지금은 2024년 12월부로 중앙선이 폐선되어 폐역이 되었으나 여전히 옛 간이역의 모습을 보기 위한 관광객들이 방문하고 있다. 역사의 건물은 1936년 준공되어 1930년대 말의 건축양식을 잘 간직하고 있으며, 일제강점기에 지어진 높이 25m, 지름 4m의 급수탑이 남아있어 역사적인 가치도 높다. 화본역은 ‘우리나라에서 가장 아름다운 간이역’에 선정된 적이 있어 많은 관광객들이 찾는 명소이다. 역 대합실에는 관광객을 위한 화본역의 역사와 기록이 담긴 사진과 역무원 모자 등을 전시하고 있다.",,대구광역시 군위군 산성면 산성가음로 711-9,"- 하절기 09:00~18:00
- 동절기 09:00~17:00",연중무휴,가능 (약 10대),,,,,"옛 역의 정취와 고즈넉한 분위기, 멋진 철도뷰가 군위에서 꼭 들러야하는 관광지라고 강추할 수 있습니다. 지나가다 들른 화본역은 동화 같은 풍경이 정말 인상적이었습니다. 급수탑 내부에 있는 백마상과 소녀상이 마치 이야기 속 장면처럼 느껴졌고, 가을에는 코스모스가 만개해 경치가 환상적이었어요. 예능 촬영지로도 유명한 곳이라 그런지 더 특별하게 느껴졌습니다. 화본역 열차 운행 중단 소식에 철덕이 아이들과 부지런히 다녀왔습니다. 몸은 힘들었지만, 즐거운 여행이었네요. 해당 구간은 추후 레일바이크로 재탄생 예정이라고 하니 다시 방문해봐야겠네요. 고즈넉한 분위기가 매력적인 화본역, 비록 열차는 운행이 중지되었지만 뚜벅이 여행자들은 9-1번 버스로 대구에서도 쉽게 올 수 있어요. 저도 티비에 나오는거 보고 찾아라봤는데 영상속 느낌 그대로더라구요! 포토스팟으로 딱이고 정겨웅 느낌이 좋았어요~ 약속장소 근처라 시간이 많이남아 들렀는데요, 가볍게들렀는데 옴청 힐링하고왔어요 짝궁이랑 도란도란 이야기도 나누고 조용하고 사진스팟도 많아요 깔끔하게 되어있구요 예전에 예능프로에 촬영지로 나와서 기억하고 있던곳이에요. 실제로 가보니 관리도 잘 되어있었고 한적하게 쉬었다 갈수있는곳이어서 사진도 찍고 앉아서 얘기도하고 좋았어요. 대구에 놀러갔다가 우연히 들렀는데 옛스러운 풍경도 그렇고 사진찍기에 좋은 명소 였어요~ 군위추억의파출소랑 삼국유사 테마파크갔다가 화본역까지 다녀왔어요 간이역이 꼭 외국어딘가에 있을법한 비쥬얼이였어요 올해까지하고 패역된다고하니 아쉬웠어요 화본역은 노을지는 시간에 가면 너~무 이뻐요. 마당에 화본고양이가 항상 누워 있고요. 1000원으로 티켓을 끊고 역사안과 기차길을 구경할 수 있어요. 역근처 식당들은 문을 빨리 닫는 편이라 늦은 시간 식사하긴 어렵습니다. 그래도 노을뷰가 낮보다 이뻐요~",https://www.gunwi.go.kr/tour,,,,,,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
