place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,체험 프로그램,화장실,시설이용료,review,주차 요금,규모,접근로,출입통로,장애인 주차 안내,엘리베이터,이용가능시설,이용요금,입장료,수용인원,체험프로그램,관람석,점자 블록,"영유아가족
기타상세",지정현황,주요시설,코스안내,휠체어,시각장애 기타상세,유도안내 설비,유모차,대중 교통,수유실,점자 홍보물,안내 요원,매표소,개장기간,부대시설
구암팜스테이마을,"구암마을은 도시와 인접해 찾기 쉬울 뿐 아니라 문화시설이 잘 갖춰진 전원주택형 마을이다. 아홉 개의 바위가 거북의 등을 닮았다 해서 구암이라 불리게 되었다. 팔공산 자락을 휘감아 도는 순환도로변에 벚꽃이 만개할 때 즈음, 이곳 농사 체험은 본격적으로 시작된다. 각종 채소류의 씨 뿌리기가 시작되고 무엇보다 사과나무 과실을 골라내는 적과가 시작돼 이를 체험할 수 있다. 사과는 물론 포도, 복숭아, 밤 등의 과실이 풍부하고 콩 뽑기와 벼 베기가 이루어지기 때문이다. 사과나 밤 따기는 이미 인근 유치원생들이 즐겨 체험할 정도라 한다. 또, 팜스테이 활성화를 위해 농협에서는 주말농장도 운영하고 있는데 상추나 고추 등의 채소류를 직접 키우고 맛도 볼 수 있다.",,http://www.gooam.com,대구광역시 동구 구암길 38,상시 개방,연중무휴,"가능
요금 (무료)",계절별 수확체험 / 식(食) 체험 / 공예체험 등,있음,※ 체험별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구 달서문화원,"달서구문화원은 지역문화의 계승과 진흥 및 발전을 목적으로 2000년 5월 12일 개원하였다.
달서구는 선사시대 유적과 현대의 문화유적이 병존하는 문화의 뿌리가 깊은 지역으로 달서구문화원에서는 이러한 달서구에 대한 지역민의 자긍심과 문화욕구를 고취 시키고자 문화유적 탐방과 문화예술 강좌를 진행하고 있다.
또한 구민 화합을 도모하고자 베란다 힐링 콘서트를 개최하고 있으며, 사진공모전 입상자와 공모전에서 배출된 초대작가회원의 작품을 전시하여 지역 사진문화 발전에 기여하고, 나아가 전통문화 계승과 진흥을 위해 더욱 힘 쓰고 있다",,http://dalseo.or.kr,대구광역시 달서구 문화회관길 160 (장기동),월요일~금요일 09:00~18:00,"매주 토요일, 일요일 / 공휴일",가능,,장애인 전용 화장실 있음,,,,,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,엘리베이터 있음,,,,,"[문화학교]
- 한문교실, 사진교실, 가야금교실, 서예교실 등
※ 자세한 사항은 홈페이지 참조",,"점자블록 있음(입구,계단)_시각장애인 편의시설",,,,,,,,,,,,,,,
팔공컨트리클럽,"팔공컨트리클럽은 대구 동구 도학동에 위치한 회원제 골프장으로 총면적은 26만 평으로 18홀 72파로 이루어져 있다. 코슨 전장은 7,006야드로 1987년부터 개장되었으며 골퍼들 사이에서는 전통 깊은 골프장으로 유명하다. 팔공컨트리클럽은 대구 팔공산 해발 700M 에코힐링 코스로 이루어져 있다. 아름다운 자연경관으로 많은 골퍼들의 사랑을 받는 곳이다. 이곳은 자연림을 전 코스에서 볼 수 있는 자연환경이 가장 큰 매력이며, 푸른 하늘을 라운딩 중 볼 수 있는 전경이다.",,,대구광역시 동구 팔공산로237길 186,일출부터 일몰까지,명절 당일,"가능
요금 (무료)",,,,,,,,,,,,"비회원 그린피 기준
주중 160,000원
주말 180,000원
※ 자세한 사항은 홈페이지 참고",,,,,,,,클럽하우스 / 식당 / 연회장 / 골프샵 등,18홀 72파,,,,,,,,,,,
국채보상운동기념도서관,"대구광역시시립중앙도서관은 1919년 개관하여 전국에서 두 번째로 100주년을 넘은 공공도서관으로 지역의 정보제공 및 시민들의 문화생활을 함께하는 소통의 공간으로 이용되어왔다. 그러나 2021년 노후한 시설로 리모델링공사를 시작하여 2023년 7월 도서관과 기록전시관이 결합된 복합문화공간으로 재탄생하였으며 명칭 또한 국채보상운동기념도서관으로 개칭하였다. 도서관 1~2층은 국채보상운동 기록전시관으로 운영하고 3~4층은 국채보상운동기념 도서관으로 운영하고 있다. 시내에 위치하고 있어 접근성이 좋으며 강좌실, 모둠활동실 등 다양한 편의 시설 제공으로 시민 커뮤니티 조성에 기여하며, 학교 교육과정과 연계한 프로그램 강화로 교육청 소속 도서관의 기능을 특화하여 운영하고 있다.학생·시민들의 지식정보 격차 해소와 문화 공유를 위해 적극적인 도서관 서비스를 제공하고 평생교육 강좌도 개설하고 있다.",,https://library.daegu.go.kr/gukbo/index.do,대구광역시 중구 공평로10길 25 대구광역시립중앙도서관,"[유아어린이 자료실]
주중 09:00~18:00/ 주말 09:00~17:00
[종합자료실]
주중 09:00~20:00 / 주말 09:00~17:00
[인문자료실]
주중 09:00~22:00 / 주말 10:00~17:00","매월 1,3번째 월요일 / 관공서 공휴일(단, 일요일과 겹칠 경우 휴관) / 기타 관장이 필요하다고 인정한 날",가능,,장애인 전용 화장실 있음(1층),,도서관 시설이 엄청 좋아요~ 앉을 자리도 많고 국채보상운동 관련 기록물도 전시되어 있어서 뜻깊은 장소입니다,무료,"부지 10,260㎡, 건물연면적 10,396㎡",출입구까지 단차가 없어 휠체어 접근 가능함,출입구까지 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음(1대)_무장애 편의시설,엘리베이터 있음,,무료,,,"[평생교육]
- 초등 및 영유아 : 다문화프로그램 / 토요도서관 등
- 중고등학생 : 역사야 놀자 국보로 보는 경제 이야기 등
- 성인 : 여행영어 / 기초일본회화 / 중국어 및 시 창작교실 등
- 어르신 : 스마트폰 활용 기초 / 바르게 걷기 클럽 등
※ 4~5월, 9~10월 예정(매년 프로그램 변경 가능)
※ 전 강좌 무료 / 교재비, 재료비는 본인 부담원칙",,점자블록 있음(접근로부터 출입구 앞까지)_시각장애인 편의시설,,,,,무료대여(1대),"저시력 장애인용 독서화상기,프린트기 있음",,,,,,,,,
묘골마을,"달성군 묘골마을은 낙동강 동안에 자리 잡고 있는 전통마을로 사육신 중 유일하게 살아남은 박팽년의 후손들이 모여사는 순천 박씨 집성촌이다. 박팽년은, 세조 2년인 1456년 사육신들과 모의하여 단종의 복위를 꾀하다가 실패하여 멸문의 화를 입게 되었다. 그러나 박팽년이 혈통을 보전하게 된 이유는 당시, 박팽년의 둘째 아들 박순의 아내 이씨 부인이 임신 중이었기 때문이다. 조정에서는 뱃속에 든 아이까지도 아들일 경우 죽이라고 명하였고, 이씨 부인은 친정인 묘골에 내려와 살다가 아이를 낳으니 아들이었다. 혈손을 보전하기 위해 고심하던 중 데리고 있던 노비가 딸을 낳자 서로 바꾸어 그 이름을 박씨 성을 가진 노비라는 뜻으로 [박비]라고 짓고. 아들을 노비로 둔갑시켜 혈통을 보전한 것이다.
박비가 장성한 후인 조선 성종 때, 아버지와 동서지간이던 이극균이 경상 감사로 내려와 자수를 권유하자 임금을 찾아가 박팽년의 자손임을 이실직고하였다. 성종은 크게 기뻐하면서 특사령을 내리는 동시에 이름도 박일산으로 고쳐 주었다. 이리하여 은둔의 세월은 막을 내리고 묘골이 충절의 본향으로 널리 알려지게 되었다.
지금도 마을 한옥들에는 사람이 거주하고 있어 마을 전체가 잘 관리되고 있으며, 마을에는 묘골 박씨들의 전통을 자랑하는 육신사와 달성 태고정, 도곡재, 달성 삼가헌 등의 문화유산이 즐비하다.",,,대구광역시 달성군 하빈면 육신사길 39-4,상시개방,,있음(무료),,있음,,,,,,,,,,,,,,,,,보물 [태고정] / 대구광역시 유형 문화재 [도곡재],,,,,,,,,,,,,
대구 오토바이골목,"대구 오토바이 골목은 1950년부터 조성되어 70여 년의 전통을 가지고 있는 대구 특화 골목이다. 대구 중구 인교동과 시장북로에 위치한 오토바이 골목은 본래 하천이었으며, 양쪽이 대부분 주택지였다. 1953년 복개천이 된 인교동에 1961년 서울오토바이상회를 시작으로 점차 확산되면서 오토바이 상가가 밀집하기 시작하면서 인교동 오토바이골목이 형성되었다. 오토바이 골목은 과거에 말을 사고파는 마장이 열린 곳이라는 뜻으로 ‘말전거리’라고 불렸다. 그 당시의 말과 지금의 오토바이가 같은 주요 교통수단이라는 점에서 서로 연관성이 있는 곳이다. 오토바이 골목으로 들어서면 가게 앞에 전시되어 있는 오토바이의 모습들이 마치 전시장을 연상케 한다. 구매, 전문적인 수리, 시트 전문점, 장애인용 오토바이를 제작 등 오토바이와 관련한 업체가 모여 있어 모든 것들을 한 곳에서 해결이 가능하다. 또, 부속품 진열과 전시, 판매, 스티커 등도 판매하고 있다.",,,대구광역시 중구 인교동,※ 점포별 상이함,※ 점포별 상이함,불가능,,,,,,,,,,,,,※ 점포별 상이함,,,,,,,,,,,,,,,,,,,
대구북구청소년회관 아트홀,"북구청소년회관은 자라나는 청소년을 위하여 지ㆍ덕ㆍ예ㆍ체를 겸비한 전인적인 청소년상의 정립과 능동적이고 창의적인 청소년 육성을 목표로 2000년 12월 28일 개관하였다. 회관은 분야별로 우수한 민간 전문 인력을 확보하여 청소년이 쉽게 접할 수 있는 눈높이 교육에 주안점을 두고 운영하고 있으며 특히, 청소년의 이용이 적은 시간대에는 지역주민을 위한 문화교양강좌와 생활체육 프로그램을 운영하여 주민의 문화 향수 기회 제공과 건강증진에 기여함으로써 지역사회 발전에 공헌하고자 하는 장소이다. 북구청소년회관은 청소년들의 건전한 수련공간으로 자리매김할 수 있도록 노력을 기울여 나가면서, 지역주민의 삶의 질 향상을 위해 수준 높은 문화복지 및 생활체육사업의 시행에도 최선을 다하고 있다. 다양한 청소년 육성 프로그램과 지역민의 문화강좌들로 프로그램이 구성되어 있으며 그중 아트홀은 북구청소년회관의 공연장이다.",,http://www.bukguzzang.co.kr,대구광역시 북구 검단로 71-17,※ 프로그램 및 강좌별 상이하므로 홈페이지 참고,매주 일요일,가능,,"장애인 전용 화장실 있음(지하,1층)",,,,,출입구까지 경사로 있어 휠체어 접근 가능함,,장애인 전용 주차구역 있음(3대)_무장애 편의시설,엘리베이터 있음,,※ 프로그램 및 강좌별 상이하므로 홈페이지 참고,,,유ㆍ아동 프로그램 / 인문ㆍ교양 프로그램 / 문화ㆍ예술 프로그램,장애인 전용 관람석 있음(2석),,,,,,,,,,,,,,,,
예송갤러리,"대구의 문화중심 지대인 봉산문화거리에 1992년 서양화 전문 화랑으로 개관하였다. 미술에 대한 시민의 심미안을 높이고 새로운 경향의 작품을 소개함으로써 미술 작품에 대한 인식의 폭을 확장하는 것을 운영 목적으로 하고 있다. 따라서 전시회는 기획, 초대전 중심으로 하고 있으며 중견작가의 품격 있는 작품과 실험성 높은 작업을 하는 신진작가를 발굴하고 지원하는 프로그램을 운영하고 있다. 또 작품을 사랑하고 필요로 하는 모든 고객에게 작품에 대한 이해와 작품 관리를 포함한 큐레이팅을 지원하고 있다.",,예송갤러리 http://www.yesongart.com/,대구광역시 중구 봉산문화길 56 (봉산동),10:00~19:00,매주 일요일,"가능
요금 (무료)",,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,
동원화랑,"중구에 있는 봉산 문화의 거리에 위치한 동원화랑은 1982년에 개관 이래 풍부한 작품을 편리하게 만날 수 있는 공간이 되도록 노력하여 왔다. 동원화랑의 주된 사업은 미술 컨설팅 업무로, 신축건물의 환경미술 컨설팅이며, 유수 작가들의 그림, 미술품 대여 사업도 병행하고 있다. 한집에 그림 한 점 걸기 운동을 펼쳐 삭막한 도시의 공간을 아늑한 정서의 공간, 예술의 공간으로 바꾸고자 힘쓰고 있다.
동원화랑은 2022년에 대구광역시 남구 앞산 해넘이전망대 인근에 갤러리동원 앞산점(남구 안지랑로5길 52)을 개관하여 중구에서 주로 근대미술을 조명한 것과 달리 현대미술 작품을 선보이고 있다.",,http://idongwon.co.kr,대구광역시 중구 봉산문화길 42,10:30~18:00,일요일(기획전시 중은 무휴),없음,,,,,,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,
군위향교,"향교는 국가에서 설립하여 유학을 가르치고 인재를 기르는 지방 교육 기관으로 지금의 중・고등학교 수준의 교육을 담당하였다. 시나 문장을 짓는 법과 유교의 경전과 역사를 가르쳤고 중국과 조선의 성현에게 제사를 올렸다. 갑오개혁 이후 교육 기능은 사라졌으며, 봄가을에 공자에게 석전대제를 지내고 초하루와 보름에 향을 피운다. 군위 향교는 조선 태종 7년(1407)에 동부리 마정산에 처음 지었으나 임진왜란 때 불타 없어졌고 선조 40년(1607) 선방산 남쪽으로 자리를 옮겨 지었다. 그리고 숙종 27년(1701)에 지금의 자리로 다시 옮겨 오늘에 이른다. 건물의 배치는 제일 높은 곳에 제사를 지내는 대성전을 두고 그 앞으로 공부하는 건물인 명륜당을 중심으로 학생의 기숙사인 동재와 서재가 서로 마주한다. 명륜당과 마주 보는 앞쪽에 누각인 광풍루와 출입문이 동남향으로 자리한다. 광풍루는 1926년에 세웠고, 서재는 한국전쟁 이후에 다시 지었다. 대성전은 앞면 3칸 규모에 ㅅ자형 지붕을 가진 건물이다. 실내에는 공자를 비롯한 그 제자와 우리나라 성현 27분의 위패가 모셔져 있다. 조선 시대 때 향교는 나라에서 토지와 노비, 책 등을 지원받아 교관이 학생들을 가르쳤으나, 지금은 교육 기능은 없어지고 제사 기능만 남았다.

(출처 : 군위군 문화관광)",,https://www.gunwi.go.kr,대구광역시 군위군 군위읍 동서2길 17-28,09:00~18:00,연중무휴,"가능
요금 (무료)",,있음,,,,,,,,,대성전 / 명륜당 / 광풍루 / 동재 / 서재 / 내삼문,,무료,,,,,,대구광역시 문화유산자료 군위향교 (1987.05.13 지정),,,,,,,,,,,,,
